exp,plate,genotype,rep,label,pixel,mm
4,A,Col,1,2016pifgi2exp1a_Col.avi:0364-0177-0056:182.00 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0363-0177-0056:181.50 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0362-0177-0056:181.00 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0361-0177-0056:180.50 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0360-0177-0056:180.00 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0359-0177-0056:179.50 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0358-0176-0055:179.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0357-0176-0055:178.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0356-0176-0055:178.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0355-0176-0055:177.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0354-0176-0055:177.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0353-0176-0055:176.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0352-0176-0055:176.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0351-0176-0055:175.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0350-0176-0055:175.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0349-0176-0055:174.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0348-0176-0055:174.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0347-0176-0055:173.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0346-0176-0055:173.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0345-0176-0055:172.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0344-0176-0055:172.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0343-0176-0055:171.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0342-0176-0055:171.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0341-0176-0055:170.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0340-0176-0055:170.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0339-0176-0055:169.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0338-0176-0055:169.00 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0337-0176-0055:168.50 s,47.143,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0336-0176-0055-1:168.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0335-0176-0055:167.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0334-0176-0055:167.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0333-0176-0055:166.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0332-0176-0055:166.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0330-0176-0055:165.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0329-0176-0055:164.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0328-0176-0055:164.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0327-0176-0055:163.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0326-0176-0055:163.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0325-0176-0055:162.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0324-0176-0055:162.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0323-0176-0055:161.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0322-0176-0055:161.00 s,47.008,
